Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x5"" (12.7x12.7cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-69,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x5"" (12.7x12.7cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-70,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x5"" (12.7x12.7cm)",Beam Lenght,6ft (182.9cm),MantleBeam2-71,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x5"" (12.7x12.7cm)",Beam Lenght,6.5ft (198.1cm),MantleBeam2-72,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,3ft (91.4cm),MantleBeam2-73,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,3.5ft (106.7cm),MantleBeam2-74,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,4ft (121.9cm),MantleBeam2-75,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,4.5ft (137.2cm),MantleBeam2-76,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,5ft (152.4cm),MantleBeam2-77,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
solid-oak-mantel-beam-all-sizes-oiled-pre-drilled-free-fixings-included-fireplace-mantlepiece-wood-l-part-1,,,,,,Beam Size (Front Side x Top Side),"5""x6"" (12.7x15.2cm)",Beam Lenght,5.5ft (167.6cm),MantleBeam2-78,0,shopify,0,continue,manual,20,TRUE,TRUE,,,,,
